From	To
ENSG00000006704	A0ACI8TK79
ENSG00000006704	A0ACI8TK84
ENSG00000006704	A0ACI8VMS2
ENSG00000006704	A0ACI8VRC8
ENSG00000006704	A0ACI8VRS8
ENSG00000006704	A0ACI8VSB5
ENSG00000006704	A0ACI8VSE7
ENSG00000006704	A0ACI8VSL0
ENSG00000006704	A0ACI8VSP0
ENSG00000006704	A0ACI8VSP9
ENSG00000006704	E9PFE2
ENSG00000006704	H7C4Q8
ENSG00000006712	Q8N7H5
ENSG00000006712	A0ACI8PD11
ENSG00000006712	A0ACI8PR70
ENSG00000006712	A0ACI8Q8B5
ENSG00000006712	A0ACI8QS98
ENSG00000006712	A0ACI8TTR5
ENSG00000006712	A0ACI8VFS2
ENSG00000006712	F6RAP1
ENSG00000006712	M0QYC7
ENSG00000006831	Q86V24
ENSG00000006831	A0ACI8PWV2
ENSG00000006831	A0ACI8PWY5
ENSG00000006831	A0ACI8PXX5
ENSG00000006831	A0ACI8Q2N8
ENSG00000006831	A0ACI8QWS0
ENSG00000006831	A0ACI8RFY8
ENSG00000006831	A0ACI8RUU1
ENSG00000006831	A0ACI8S696
ENSG00000006831	A0ACI8T8M4
ENSG00000006831	A0ACI8T8P6
ENSG00000006837	Q8IVW4
ENSG00000006837	E5RFT9
ENSG00000006837	E5RGK4
ENSG00000006837	E5RI54
ENSG00000006837	E7ET86
ENSG00000006837	F6TCD8
ENSG00000006837	H0YAP8
ENSG00000006837	H0YB17
ENSG00000007001	O95045
ENSG00000007001	A0AAQ5BIC7
ENSG00000007001	A0ACI8QBU2
ENSG00000007047	Q96L34
ENSG00000007047	A0ACI8RAT3
ENSG00000007047	A0ACI8TAN6
ENSG00000007047	K7EK17
ENSG00000007047	K7EKG8
ENSG00000007047	K7EMX9
ENSG00000007047	K7EN95
ENSG00000007216	Q13183
ENSG00000007216	A0ACI8P9M0
ENSG00000007216	A0ACI8PCH1
ENSG00000007216	A0ACI8PCY0
ENSG00000007216	A0ACI8R4A6
ENSG00000007216	A0ACI8REL1
ENSG00000007216	A0ACI8UYZ1
ENSG00000007216	J3QL78
ENSG00000007216	J3QR70
ENSG00000007237	O60861
ENSG00000007237	A0A0A0MS68
ENSG00000007237	A0ACI8PE63
ENSG00000007237	J3KS47
ENSG00000007237	J3KTB1
ENSG00000007237	J3QLH8
ENSG00000007237	J3QR80
ENSG00000007237	J3QS26
ENSG00000007255	O75865
ENSG00000007255	A0ACI8Q9N5
ENSG00000007255	A0ACI8U4T3
ENSG00000007255	A0ACI8U5B3
ENSG00000007255	A0ACI8U5J0
ENSG00000007312	P40259
ENSG00000007312	A0ACI8QYE7
ENSG00000007372	P26367
ENSG00000007372	A0A1W2PNS7
ENSG00000007372	A0A1W2PP27
ENSG00000007372	A0A1W2PP89
ENSG00000007372	A0A1W2PPG3
ENSG00000007372	A0A1W2PPH0
ENSG00000007372	A0A1W2PPJ2
ENSG00000007372	A0A1W2PPM5
ENSG00000007372	A0A1W2PPN2
ENSG00000007372	A0A1W2PPZ0
ENSG00000007372	A0A1W2PQ31
ENSG00000007372	A0A1W2PQA8
ENSG00000007372	A0A1W2PQG3
ENSG00000007372	A0A1W2PQG7
ENSG00000007372	A0A1W2PQJ8
ENSG00000007372	A0A1W2PQL7
ENSG00000007372	A0A1W2PQM7
ENSG00000007372	A0A1W2PQW3
